NombreDepto,mpio_cdpmp,NombreEntidad,Población,Periodo
Cundinamarca,25328,Guayabal de Siquima,3629.0,2012
Cundinamarca,25335,Guayabetal,4880.0,2012
Cundinamarca,25339,Gutiérrez,3892.0,2012
Cundinamarca,25368,Jerusalén,2689.0,2012
Cundinamarca,25372,Junín,8535.0,2012
Cundinamarca,25377,La Calera,26449.0,2012
Cundinamarca,25386,La Mesa,29997.0,2012
Cundinamarca,25394,La Palma,10472.0,2012
Cundinamarca,25398,La Peña,7015.0,2012
Cundinamarca,25402,La Vega,13953.0,2012
Cundinamarca,25407,Lenguazaque,10118.0,2012
Cundinamarca,25426,Macheta,6466.0,2012
Cundinamarca,25430,Madrid,73086.0,2012
Cundinamarca,25436,Manta,4676.0,2012
Cundinamarca,25438,Medina,10024.0,2012
Cundinamarca,25473,Mosquera,76652.0,2012
Cundinamarca,25483,Nariño,2163.0,2012
Cundinamarca,25486,Nemocón,12832.0,2012
Cundinamarca,25488,Nilo,17042.0,2012
Cundinamarca,25489,Nimaima,6299.0,2012
Cundinamarca,25491,Nocaima,7888.0,2012
Cundinamarca,25506,Venecia,4030.0,2012
Cundinamarca,25513,Pacho,26600.0,2012
Cundinamarca,25518,Paime,4754.0,2012
Cundinamarca,25524,Pandi,5595.0,2012
Cundinamarca,25530,Paratebueno,7639.0,2012
Cundinamarca,25535,Pasca,11870.0,2012
Cundinamarca,25572,Puerto Salgar,17729.0,2012
Cundinamarca,25580,Pulí,2960.0,2012
Cundinamarca,25592,Quebradanegra,4721.0,2012
Cundinamarca,25594,Quetame,6974.0,2012
Cundinamarca,25596,Quipile,8174.0,2012
Cundinamarca,25599,Apulo,7813.0,2012
Cundinamarca,25612,Ricaurte,9044.0,2012
Cundinamarca,25645,San Antonio del Tequendama,12883.0,2012
Cundinamarca,25649,San Bernardo,10564.0,2012
Cundinamarca,25653,San Cayetano,5329.0,2012
Cundinamarca,25658,San Francisco,9170.0,2012
Cundinamarca,25662,San Juan de Río Seco,9687.0,2012
Cundinamarca,25718,Sasaima,10543.0,2012
Cundinamarca,25736,Sesquilé,12576.0,2012
Cundinamarca,25740,Sibaté,36357.0,2012
Cundinamarca,25743,Silvania,21840.0,2012
Cundinamarca,25745,Simijaca,12417.0,2012
Cundinamarca,25754,Soacha,477918.0,2012
Cundinamarca,25758,Sopó,25053.0,2012
Cundinamarca,25769,Subachoque,15174.0,2012
Cundinamarca,25772,Suesca,16334.0,2012
Cundinamarca,25777,Supatá,5000.0,2012
Cundinamarca,25779,Susa,11466.0,2012
Cundinamarca,25781,Sutatausa,5321.0,2012
Cundinamarca,25785,Tabio,25121.0,2012
Cundinamarca,25793,Tausa,8483.0,2012
Cundinamarca,25797,Tena,8533.0,2012
Cundinamarca,25799,Tenjo,19496.0,2012
Cundinamarca,25805,Tibacuy,4826.0,2012
Cundinamarca,25807,Tibirita,2966.0,2012
Cundinamarca,25815,Tocaima,18050.0,2012
Cundinamarca,25817,Tocancipá,29511.0,2012
Cundinamarca,25823,Topaipí,4581.0,2012
Cundinamarca,25839,Ubalá,11066.0,2012
Cundinamarca,25841,Ubaque,6373.0,2012
Cundinamarca,25843,Villa de San Diego de Ubate,38169.0,2012
Cundinamarca,25845,Une,8837.0,2012
Cundinamarca,25851,Útica,4981.0,2012
Cundinamarca,25862,Vergara,7662.0,2012
Cundinamarca,25867,Vianí,4162.0,2012
Cundinamarca,25871,Villagómez,2165.0,2012
Cundinamarca,25873,Villapinzón,18764.0,2012
Cundinamarca,25875,Villeta,24870.0,2012
Cundinamarca,25878,Viotá,13370.0,2012
Cundinamarca,25885,Yacopí,16789.0,2012
Cundinamarca,25898,Zipacón,5401.0,2012
Cundinamarca,25899,Zipaquirá,116215.0,2012
Chocó,27000,Chocó,9944895.0,2012
Chocó,27001,Quibdó,115052.0,2012
Chocó,27006,Acandí,9842.0,2012
Chocó,27025,Alto Baudo,34117.0,2012
Chocó,27050,Atrato,9158.0,2012
Chocó,27073,Bagadó,8178.0,2012
Chocó,27075,Bahía Solano,9255.0,2012
Chocó,27077,Bajo Baudó,17086.0,2012
Chocó,27099,Bojaya,10047.0,2012
Chocó,27135,El Cantón del San Pablo,7396.0,2012
Chocó,27150,Carmen del Darien,5359.0,2012
Chocó,27160,Cértegui,9915.0,2012
Chocó,27205,Condoto,14173.0,2012
Chocó,27245,El Carmen de Atrato,13352.0,2012
Chocó,27250,El Litoral del San Juan,14268.0,2012
Chocó,27361,Istmina,24824.0,2012
Chocó,27372,Juradó,3407.0,2012
Chocó,27413,Lloró,10934.0,2012
Chocó,27425,Medio Atrato,26696.0,2012
Chocó,27430,Medio Baudó,12992.0,2012
Chocó,27450,Medio San Juan,15238.0,2012
Chocó,27491,Nóvita,7934.0,2012
Chocó,27495,Nuquí,8275.0,2012
Chocó,27580,Río Iro,9191.0,2012
Chocó,27600,Río Quito,8633.0,2012
Chocó,27615,Riosucio,28665.0,2012
Chocó,27660,San José del Palmar,4900.0,2012
Chocó,27745,Sipí,3869.0,2012
Chocó,27787,Tadó,18670.0,2012
Chocó,27800,Unguía,14973.0,2012
Chocó,27810,Unión Panamericana,9144.0,2012
Huila,41000,Huila,9944895.0,2012
Huila,41001,Neiva,335490.0,2012
Huila,41006,Acevedo,30846.0,2012
Huila,41013,Agrado,8888.0,2012
Huila,41016,Aipe,24169.0,2012
Huila,41020,Algeciras,24257.0,2012
Huila,41026,Altamira,4078.0,2012
Huila,41078,Baraya,9497.0,2012
Huila,41132,Campoalegre,33757.0,2012
Huila,41206,Colombia,12042.0,2012
Huila,41244,Elías,3741.0,2012
Huila,41298,Garzón,82390.0,2012
Huila,41306,Gigante,31713.0,2012
Huila,41319,Guadalupe,20106.0,2012
Huila,41349,Hobo,6832.0,2012
Huila,41357,Iquira,12082.0,2012
Huila,41359,Isnos,26101.0,2012
Huila,41378,La Argentina,13254.0,2012
Huila,41396,La Plata,59495.0,2012
Huila,41483,Nátaga,6184.0,2012
Huila,41503,Oporapa,12650.0,2012
Huila,41518,Paicol,5448.0,2012
Huila,41524,Palermo,30967.0,2012
Huila,41530,Palestina,11162.0,2012
Huila,41548,Pital,13420.0,2012
Huila,41551,Pitalito,118677.0,2012
Huila,41615,Rivera,18177.0,2012
Huila,41660,Saladoblanco,11108.0,2012
Huila,41668,San Agustín,31944.0,2012
Huila,41676,Santa María,11030.0,2012
Huila,41770,Suaza,17474.0,2012
Huila,41791,Tarqui,17115.0,2012
Huila,41797,Tesalia,9145.0,2012
Huila,41799,Tello,13970.0,2012
Huila,41801,Teruel,8595.0,2012
Huila,41807,Timaná,20217.0,2012
Huila,41872,Villavieja,7329.0,2012
Huila,41885,Yaguará,8597.0,2012
La Guajira,44000,La Guajira,9944895.0,2012
La Guajira,44001,Riohacha,231653.0,2012
La Guajira,44035,Albania,25018.0,2012
La Guajira,44078,Barrancas,32254.0,2012
La Guajira,44090,Dibulla,29446.0,2012
La Guajira,44098,Distracción,14695.0,2012
La Guajira,44110,El Molino,8357.0,2012
La Guajira,44279,Fonseca,31514.0,2012
La Guajira,44378,Hatonuevo,22203.0,2012
La Guajira,44420,La Jagua del Pilar,3094.0,2012
La Guajira,44430,Maicao,148427.0,2012
La Guajira,44560,Manaure,92232.0,2012
La Guajira,44650,San Juan del Cesar,35972.0,2012
La Guajira,44847,Uribia,156496.0,2012
La Guajira,44855,Urumita,16561.0,2012
La Guajira,44874,Villanueva,26610.0,2012
Magdalena,47000,Magdalena,9944895.0,2012
Magdalena,47001,Santa Marta,461900.0,2012
Magdalena,47030,Algarrobo,12312.0,2012
Magdalena,47053,Aracataca,38162.0,2012
Magdalena,47058,Ariguaní,31806.0,2012
Magdalena,47161,Cerro San Antonio,7966.0,2012
Magdalena,47170,Chivolo,16105.0,2012
Magdalena,47189,Ciénaga,103546.0,2012
Magdalena,47205,Concordia,9575.0,2012
Magdalena,47245,El Banco,55175.0,2012
Magdalena,47258,El Piñon,16795.0,2012
Magdalena,47268,El Retén,20269.0,2012
Magdalena,47288,Fundación,57195.0,2012
Magdalena,47318,Guamal,26592.0,2012
Magdalena,47460,Nueva Granada,18572.0,2012
Magdalena,47541,Pedraza,8034.0,2012
Magdalena,47545,Pijiño del Carmen,15187.0,2012
Magdalena,47551,Pivijay,34501.0,2012
Magdalena,47555,Plato,55037.0,2012
Magdalena,47570,Puebloviejo,28720.0,2012
Magdalena,47605,Remolino,8318.0,2012
Magdalena,47660,Sabanas de San Angel,16252.0,2012
Magdalena,47675,Salamina,7434.0,2012
Magdalena,47692,San Sebastián de Buenavista,17407.0,2012
Magdalena,47703,San Zenón,9040.0,2012
Magdalena,47707,Santa Ana,25034.0,2012
Magdalena,47720,Santa Bárbara de Pinto,12126.0,2012
Magdalena,47745,Sitionuevo,30446.0,2012
Magdalena,47798,Tenerife,12300.0,2012
Magdalena,47960,Zapayán,8737.0,2012
Magdalena,47980,Zona Bananera,59332.0,2012
Meta,50000,Meta,9944895.0,2012
Meta,50001,Villavicencio,452522.0,2012
